,Carrier Name,2-Char IATA,3-Char ICAO
297,"Custom Air Transport, Inc.",5R,
298,Cyprus Airways Limited,CY,CYP
299,"Czech Airlines a.s., CSA",OK,CSA
300,DHL Aero Expreso S.A.,D5,DAE
301,DHL Air Limited,D0,DHK
302,DHL International B.S.C. ( c ),ES,DHX
303,DHL de Guatemala S.A.,L3,JOS
304,Daallo Airlines,D3,DAO
305,Daghestan Airlines,N2,
306,Dalavia - Far East Airways Khabarovsk,H8,KHB
307,Dana Airlines Limited,9J,DAN
308,Danish Air Transport,DX,DTR
309,Darwin Airline SA Lugano,0D,DWT
310,Deer Jet Co. Ltd.,JD,DER
311,Delta Air Lines Inc.,DL,DAL
312,Deutsche Lufthansa AG,LH,DLH
313,Dnieproavia  - Joint Stock Aviation Co.,Z6,UDN
314,Dolphin Air,ZD,
315,Domodedovo Airlines,E3,DMO
316,Druk Air Corporation Ltd.,KB,DRK
317,Dutch Antilles Express B.V.,9H,
318,EVA Airways Corporation,BR,EVA
319,East African Safari Air Express Ltd.,B5,
320,Edelweiss Air AG,WK,EDW
321,Egyptair,MS,MSR
322,El Al Israel Airlines Ltd.,LY,ELY
323,El Sol de America,6S,ESC
324,Elysair S.A.S.,A0,
325,Emirates,EK,UAE
326,Empire Airlines,EM,
327,Empire Aviation Limited,,MPR
328,"Era Aviation, Inc.",7H,ERH
329,Eritrean Airlines,B8,ERT
330,"Estafeta Carga Aerea, S.A. de C.V",E7,
331,Estonian Air,OV,ELL
332,Ethiopian Airlines Enterprise,ET,ETH
333,Etihad Airways,EY,ETD
334,Euro-Asia International JSC,5B,
335,Eurocypria Airlines Ltd.,UI,ECA
336,Eurofly S.p.A.,GJ,EEZ
337,Euroline,4L,MJX
338,European Air Transport N.V.,QY,BCS
339,Eurowings AG,EW,EWG
340,Evergreen Helicopters International Inc.,7E,
341,Evergreen International Airlines Inc.,EZ,EIA
342,Execaire,MB,EXA
343,Exploits Valley Air Services,8K,
344,Expo Aviation (Pvt) Limited,8D,EXV
345,"ExpressJet Airlines, Inc.",XE,BTA
346,Eznis Airways Co. Ltd.,ZY,EZA
347,Falcon Express Cargo Airlines,FC,
348,Fars Qeshm Airlines,QE,QFZ
349,FedEx,FX,FDX
350,"Federal State Unitary Enterprise ""STC",FV,PLK
351,Felix Airways,FO,FXX
352,Finnair Oyj,AY,FIN
353,First Air,7F,FAB
354,Five Fourty Aviation Limited,5H,FFV
355,"Florida West International Airways, Inc.",RF,FWL
356,Fly Excellent,F3,FXL
357,FlyFirefly Sdn. Bhd,FY,
358,FlyLAL-Lithuanian Airlines,TE,LIL
359,Flybe Limited,BE,BEE
360,Flying Carpet Air Transport & Services,7Y,FCR
361,Four Star Aviation,HK,FSC
362,Friendship Airways,Y0,
363,"Frontier Airlines, Inc.",F9,
364,"Frontier Flying Service, Inc.",2F,FTA
365,Futura Gael,F6,FGL
366,GB Airways Ltd.,GT,GBL
367,GMG Airlines Ltd.,Z5,
368,Gabon Airlines,GY,
369,Gabon Airlines Cargo,6G,GBK
370,Gadair European Airlines,GP,GDR
371,Gambia International Airlines Ltd.,GC,GNR
372,Garuda Indonesia,GA,GIA
373,Gazpromavia Aviation Company Ltd.,4G,GZP
374,Georgian Airways,A9,
375,Georgian National Airlines,QB,
376,Gestair S.A.,G5,
377,Ghana International Airlines Ltd.,G0,GHB
378,Globespan Airways Limited,Y2,GSM
379,Globus LLC,GH,
380,Go One Airways,GK,
381,GoJet Airlines LLC,G7,GJS
382,"Grand China Air Co. , Ltd.",CN,
383,Grand China Express Co. Ltd.,GS,
384,Grandstar Cargo International Airlines,GD,
385,Great Lakes Aviation Ltd.,ZK,GLA
386,Great Wall Airlines Company Limited,IJ,
387,Gromov Flight Research Institute Airline,3R,GAI
388,"Gulf & Caribbean Cargo, Inc",IF,
389,Gulf Air Company G.S.C.,GF,GFA
390,"Gulfstream International Airlines, Inc.",3M,GFT
391,HMY Airways Inc.,HQ,HMY
392,Hahn Air Lines,HR,HHN
393,Hainan Airlines Company Limited,HU,CHH
394,Hamsal Air Services Limited,2H,HML
395,Hapag Lloyd Fluggesellschaft,HF,HLF
396,"Hawaii Island Air, Inc.",WP,
397,"Hawaiian Airlines, Inc.",HA,HAL
398,Heavylift Cargo Airlines Pty. Limited,HN,
399,Heli Air Monaco,YO,MCM
400,Helijet International Inc.,JB,JBA
401,Helitrans AS,9I,HTA
402,Hellenic Imperial Airways,HT,IMP
403,Hello AG,HW,
404,Hemus Air,DU,
405,Hewa Bora Airways,EO,ALX
406,"Hi Fly Transportes Aereos, S.A.",5K,
407,Highland Airways Limited,8H,HWY
408,"Hokkaido Int'l Airlines Co., Ltd.",HD,ADO
409,Homer Air Inc.,HB,
410,Hong Kong Airlines Limited,HX,
411,Hong Kong Dragon Airlines Limited,KA,HDA
412,Hong Kong Express Airways Limited,UO,HKE
413,Horizon Air,QX,QXE
414,"IBC Airways, Inc.",II,CSQ
415,IHY Izmir Havayollari A.S.,4I,IZM
416,IMAIR Airline,IK,ITX
417,Iberia - Lineas Aereas de Espana,IB,IBE
418,Icaro S.A.,X8,
419,Icelandair,FI,ICE
420,Indochina Airlines,IO,IDO
421,Industrieflug IPS,I2,
