id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,time_signature
2LzcpixYEhVKvoQq7wNbCs,0.6459999999999999,0.893,0.436,0.000314,2,0.17800000000000002,-9.124,1,0.0505,116.389,0.963,4
0SRjDyh7nZ8N4mHbnO6kh3,0.7020000000000001,0.555,0.6609999999999999,0.0,2,0.0506,-8.808,1,0.08199999999999999,156.678,0.96,4
5gjeRYKyOH23oNNb59WjJq,0.183,0.7859999999999999,0.845,1.9699999999999998e-05,6,0.294,-8.905,1,0.12300000000000001,98.721,0.875,4
3R6oqTYWDBs686Au3QVFZs,0.449,0.603,0.636,0.0,5,0.335,-10.04,1,0.0408,153.061,0.774,4
32aZ9tODwDPbmKzIfvr60z,0.907,0.449,0.369,0.000589,10,0.251,-12.799000000000001,1,0.0554,72.24600000000001,0.8959999999999999,4
3kjEjsy17HdYmC3dpHZQSW,0.7709999999999999,0.741,0.308,1.55e-06,10,0.102,-13.904000000000002,0,0.0321,114.572,0.615,4
6I49RDTrOe54naukI7dYYF,0.305,0.6709999999999999,0.447,1.6100000000000002e-05,9,0.358,-14.931,1,0.0718,157.265,0.887,4
6V0bSLpZ6XNJ72jBb6fpvx,0.623,0.657,0.664,5.97e-06,4,0.41700000000000004,-8.352,1,0.0339,108.917,0.87,4
0V2SCm7GlZoojWRnunwBmh,0.871,0.5660000000000001,0.386,0.0,0,0.243,-7.685,1,0.0321,80.435,0.484,3
3xMRvaJtmChfRN3D6ERLFH,0.9790000000000001,0.455,0.18,0.0010400000000000001,7,0.23600000000000002,-8.602,1,0.0295,105.86,0.41600000000000004,4
05k40oRJ58mQBJSAz0FkLI,0.785,0.613,0.37200000000000005,0.0015400000000000001,0,0.115,-13.050999999999998,1,0.0299,98.54899999999999,0.6970000000000001,4
2oPz7fWUmfeNG00NVf5uNa,0.7490000000000001,0.7,0.195,0.0,1,0.0472,-16.657,1,0.0322,101.85799999999999,0.58,4
4mhSrAdYDIFZF2nsNhpQVx,0.38,0.434,0.591,0.0,7,0.898,-9.685,1,0.0292,86.805,0.7509999999999999,4
3daU8ctyKol8VacgAgYFQl,0.867,0.552,0.583,2.11e-06,3,0.247,-11.129000000000001,1,0.0737,159.85399999999998,0.6629999999999999,4
1sgU6LtIDuTT2bxqdmSbh4,0.313,0.586,0.545,0.0,7,0.13699999999999998,-9.712,1,0.0293,106.34299999999999,0.904,4
0nM3niAxsB8yNLE8nzJb7n,0.649,0.701,0.601,0.0,3,0.376,-10.636,0,0.0325,118.83,0.9279999999999999,4
1qeyWlRWjmV1bEDhRRI1cQ,0.805,0.545,0.748,0.9309999999999999,5,0.0957,-8.669,1,0.0461,163.947,0.937,4
48agj5oUDAWxA3Mjfx604e,0.619,0.215,0.298,1.21e-06,2,0.10300000000000001,-13.140999999999998,1,0.0336,102.791,0.32299999999999995,4
7ubVjMPdm7Der0ynsjO6XU,0.7290000000000001,0.722,0.8079999999999999,0.179,8,0.0606,-5.626,1,0.0592,126.301,0.9209999999999999,4
3t72D6frjSTo9JH3gaFbF6,0.75,0.294,0.44299999999999995,1.16e-06,2,0.40399999999999997,-11.501,1,0.0322,83.823,0.35600000000000004,4
2OSQYducfzZHjj4b2rTSS6,0.284,0.564,0.653,0.0,2,0.5660000000000001,-5.515,1,0.0361,141.422,0.904,4
0nG4SbrAONIFLIwQqegooj,0.0836,0.696,0.743,0.19699999999999998,1,0.11900000000000001,-6.622999999999999,1,0.0439,137.276,0.7759999999999999,4
2peUFoCYkDopfwq2u1G9nF,0.9209999999999999,0.387,0.203,0.0,1,0.157,-13.135,1,0.0283,73.684,0.221,4
6yzHLeKfF9yCJBQOLoEkDC,0.965,0.33299999999999996,0.22699999999999998,0.00185,2,0.149,-12.206,1,0.0323,87.523,0.19399999999999998,4
53ETFsa22ASbJM7m20fNKC,0.664,0.636,0.6609999999999999,0.0,7,0.19399999999999998,-5.44,1,0.0564,133.91299999999998,0.948,4
1KgY8yJqET4Uoix6lFeJ7Y,0.444,0.767,0.435,9.08e-05,9,0.0791,-10.422,1,0.0339,115.139,0.805,4
7jKaqwcVpMXAENTAS80p0s,0.87,0.34600000000000003,0.183,0.0,2,0.0997,-10.675,1,0.0304,107.868,0.193,4
2H8UtrmKfplv4kHAR4sRUE,0.615,0.5579999999999999,0.7240000000000001,0.0,9,0.603,-8.634,0,0.0882,144.08,0.872,4
0SsoaWBcUkmh47fWKSZ7HW,0.498,0.687,0.748,4.35e-05,0,0.0943,-6.495,1,0.0314,120.04899999999999,0.9640000000000001,3
4zi2MSsUCUq0byEc5jajh4,0.537,0.563,0.312,0.0,2,0.149,-9.998,1,0.0289,113.941,0.674,4
2CeqxyOZEyiL6pTDYZ9gPH,0.0906,0.742,0.0899,0.0,9,0.113,-19.187,0,0.158,137.47299999999998,0.35100000000000003,4
1IcMAG7yvnTG1Q4xHvScGE,0.499,0.534,0.807,4.8100000000000004e-05,8,0.185,-7.9,1,0.0525,145.252,0.971,4
43RGpPaI0YYQjkAxlSx9C3,0.258,0.32799999999999996,0.599,0.0,6,0.109,-13.341,1,0.0372,178.298,0.889,4
2H3RYr8qMDAPACiHMRS4mH,0.6659999999999999,0.597,0.318,0.0011300000000000001,2,0.18,-12.706,1,0.0341,100.353,0.597,4
68T4YaueRjQbSDnr8fjaw4,0.179,0.58,0.35,0.000848,11,0.465,-14.812000000000001,1,0.031,77.524,0.95,4
